Psychological Horror | Fear rooted in the unraveling of the mind and blurred reality.
"Folk Horror | Rural settings, ancient customs, and superstitions turned deadly."
"Supernatural | Ghosts, spirits, and unexplained forces beyond the living world."
"Gothic Horror | Crumbling grandeur, emotional torment, and tragic hauntings."
Body Horror | Distorted bodies and terrifying transformations of flesh.
"Ghost Story | Spirits with unfinished business, lingering in the shadows."
"Monster Horror | Beasts, cryptids, or unnatural predators stalking their prey."
"Cosmic Horror | Fear of the unknowable, vast, and indifferent universe."
"Modern / Tech Horror | Dread born from surveillance, AI, or digital dependence."
"Ritual Horror | Dark ceremonies with rules, offerings, and deadly outcomes."
"Historical Horror | The horrors of the past come back, often bloodier than before."
"Occult Horror | Hidden knowledge, magic, and the cost of invoking otherworldly forces."
"Religious Horror | Blasphemy, faith, damnation - the sacred turned sinister."
Environmental Horror | Nature strikes back or decays into something otherworldly.
Urban / Industrial Horror | Concrete jungles hiding dark secrets and mechanical malice.
"Mythological Horror | Gods, monsters, and cursed tales brought terrifyingly to life."
"Fairy Tale Horror | Childhood stories retold with blood, shadows, and sharp teeth."
"Sea / Mist Horror | Dread drifting in from the waves, the deep, or the fog."
"Liminal / Dream Horror | Spaces between - unsettling, endless, or never quite real."
"Satirical / Dark Comedy | Horror laced with humor, irony, and grotesque absurdity."
Post-Mortem / Afterlife Horror | Death isn’t the end - it’s the beginning of something worse.
"Witchcraft / Trial Horror | Accusations, spells, and burning consequences."
"Haunted Technology | Devices that watch, manipulate, or remember too much."
Surreal Horror | Logic fails and nightmares take root - dreamlike and disorienting.
"Domestic Horror | Terror hiding in plain sight, within families or familiar homes."
"Medical Horror | Hospitals, surgeries, and healing gone horribly wrong."
"Infection Horror | Viruses, plagues, or thoughts that spread uncontrollably."
"Isolation Horror | Trapped, snowed-in, cut off - nowhere to run."
"Time Loop Horror | The same moment, over and over, growing more twisted."
"Mirror Horror | Reflections lie, reverse, or try to break through."
"Library / Archive Horror | Forgotten texts that whisper, read you back, or rewrite reality."
Academic Horror | Knowledge that should never be known - studied at a price.
"Hotel Horror | Guests don’t leave, and the rooms remember everything."
Cave / Underground Horror | Claustrophobic spaces where light won’t follow.
Train / Transit Horror | Movement is supposed to mean escape - not here.
Found Footage Horror | Unearthed recordings no one should’ve seen.
"Sound / Silence Horror | Noises that shouldn’t be there - or terrifying, total quiet."
"Memory Horror | Memories misplaced, stolen, or planted with intent."
"Parasitic Horror | Something inside, feeding, waiting to take over."
Invisible Horror | It’s here. You just can’t see it. Yet.
Invasion Horror | They came. They're inside. And they act like you.
"Inheritance Horror | A house, a bloodline, a secret - and now it's yours."
"Forest Horror | Trees whisper, the paths shift, and something watches."
Motel Horror | A cheap stop for the night - and the last for some.
"Cursed Object Horror | Some things shouldn’t be touched, owned, or worn."
Abandoned Place Horror | Left behind… but not empty.
Childhood Horror | Fear that roots itself early and never lets go.
Puppet / Doll Horror | Eyes that don’t blink - and move when you’re not looking.
Shadow Horror | They follow the light. Stay in the dark.
Road Trip Horror | The map is wrong. The road is wrong. You should’ve turned back.
"Theatre / Stage Horror | The show never ends, and the mask won't come off."
Inheritance Horror | Something passed down that won’t let go.
